Column27,x_coord,y_coord,heights1
STOW0843,196110.726,442579.965,10.9691677093506
STOW0054,197283.747,443502.884,10.4812412261963
STOW0062,198772.974,434949.068,10.7640037536621
STOW0063,198730.577,434998.838,10.6557884216309
STOW0064,198725.311,435003.315,10.5548362731934
STOW0065,198721.36,435008.054,10.4883718490601
STOW0066,197893.542,435611.183,12.1183748245239
STOW0067,197300.251,436000.748,10.4027996063232
STOW0359,176432.664,433150.354,8.66318798065186
STOW0360,176068.001,434554.983,7.03109979629517
STOW0361,171186.443,438429.041,6.58179330825806
STOW0362,169075.23,439885.041,10.1040391921997
STOW0364,161103.968,443361.994,6.10799980163574
STOW0365,160340.088,443495.264,5.58811664581299
STOW0366,176047.002,434578.983,6.80369997024536
STOW0367,176016.002,434615.982,6.55999994277954
STOW0348,179789.145,441434.165,9.71170520782471
STOW0349,179792.295,441434.115,9.6102294921875
STOW0350,178748.467,441161.128,9.03736305236816
STOW0353,167312.19,435200.31,9.98195743560791
STOW0355,162067.398,434733.275,5.3332667350769
STOW0356,159554.176,434561.115,4.67104148864746
STOW0357,181672.702,418716.753,8.44330310821533
STOW0358,181460.702,418699.803,8.42373371124268
STOW0288,196990.283,442901.407,9.83634948730469
STOW0290,197030.367,442963.321,10.0146741867065
STOW0291,197081.168,443041.902,10.3056468963623
STOW0292,203544.003,433214.192,
STOW0294,195205.072,438320.511,11.0160799026489
STOW0345,195053.988,434371.941,10.2966966629028
STOW0346,178190.992,433863.974,7.46049976348877
STOW0347,176764.549,434372.7,
STOW0280,206556.266,446294.774,8.91059112548828
STOW0281,210511.275,464302.778,6.44256734848022
STOW0282,210305.049,459370.355,7.05905389785767
STOW0283,210144.943,463730.793,
STOW0284,204344.169,431872.121,12.356819152832
STOW0285,204308.968,431998.95,16.3142509460449
STOW0286,204268.589,432076.084,16.6772041320801
STOW0287,204323.98,431971.514,16.8237552642822
STOW0268,197366.248,443770.085,10.1985177993774
STOW0269,201788.747,445791.252,7.78562688827515
STOW0270,202323.752,445800.136,7.87544012069702
STOW0271,202227.202,445867.609,10.1496171951294
STOW0272,202364.011,445757.803,7.43747568130493
STOW0273,204586.112,445420.161,9.49499988555908
STOW0274,206772.038,446236.914,8.73101329803467
STOW0275,206501.62,446343.793,9.81933975219727
STOW1118,202783.291,481988.685,4.08118104934692
STOW1119,186631.254,431041.55,8.86888694763184
STOW1120,205501.004,488829.87,1.45064604282379
STOW1121,147691.134,424810.442,2.50078964233398
STOW1122,147694.759,424816.66,2.3990581035614
STOW1123,158375.603,432738.181,4.06515598297119
STOW1124,139285.492,425648.516,1.14750003814697
STOW1125,200289.162,501969.073,
STOW1110,132782.323,445556.616,0.582765161991119
STOW1111,132884.732,445792.142,0.721762537956238
STOW1112,132733.021,445404.411,
STOW1113,147686.613,424884.374,2.24248671531677
STOW1114,157246.206,443826.578,5.23587799072266
